variable_name,variable_content,question_number,likert,valuation_signing,grouping_variable,variable_type,comment_1,comment_2,grouping_variable_detailed,grouping_variable_aggregate2,scale_value,scale_value_2022,variable_name_previously,grouping_variable_aggregate_PAP,grouping_variable_disaggregate_PAP,grouping_variable_name_aggregate2,grouping_variable_name_detailed,binary_classification_1,binary_classification_0,include,grouping_variable_very_detailed
Q17_12,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 12",187,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 101,,social_network,7,7,Q17_x11,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_13,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 13",188,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 102,,social_network,7,7,Q17_x12,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_14,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 14",189,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 103,,social_network,7,7,Q17_x13,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_15,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 15",190,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 104,,social_network,7,7,Q17_x14,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_16,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 16",191,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 105,,social_network,7,7,Q17_x15,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_17,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 17",192,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 106,,social_network,7,7,Q17_x16,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_18,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 18",193,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 107,,social_network,7,7,Q17_x17,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_19,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 19",194,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 108,,social_network,7,7,Q17_x18,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q17_20,"Please select whether you agree or disagree with the following statements.
This contact is someone who looks up to me. - Person 19",194,1,-1,social_network,ordinal,"numbers 2,3, are missing. scale consists of 1,4,5,6,7,8,9.",Only 19 persons due to person 11 included twice instead of person 108,,social_network,7,7,,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_status
Q20,"Overall, which one of the following best describes how well
you are managing financially these days:",196,1,-1,income_security,ordinal,,,,income_security,4,4,,economic_outcomes,income,Economic security,Economic security,"1,2","3,4",1,income_security_present
Q21,"Compared to 6 months ago before the start of MAGMA, would you say that you are better off, the same, or worse off financially?",197,1,-1,income_security,ordinal,"numbers are mixed up and not in oder. Currently: Much better off  (1) , 	Better off  (6) 
o	Somewhat better off  (2) 
o	About the same  (3) 
o	Somewhat worse off  (4) 
o	Worse off  (7) 
o	Much worse off  (5) ",,,income_security,7,7,,economic_outcomes,income,Economic security,Economic security,"1,2,3","4,5,6,7",1,income_security_past
Q22,How much is your monthly income?,198,0,1,income_security,continuous,,,,income_security,2000,2000,,economic_outcomes,income,Economic security,Economic security,>1290,<1290,1,income_security
Q109_First Click,Timing - First Click,199,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q109_Last Click,Timing - Last Click,200,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q109_Page Submit,Timing - Page Submit,201,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q109_Click Count,Timing - Click Count,202,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q23,"Can you try to guess in which category your monthly income
falls approximately?",203,0,1,income_security,,,,,income_security,7,7,,economic_outcomes,income,Economic security,Economic security,"1,2,3","4,5,6,7",1,income_security_cat
Q24,"Are you in arrears with a regular payment such as rent,
phone bill, loan installment or the like?",204,1,1,income_security,ordinal,,,,income_security,4,4,,social_outcomes,material_deprivation,Economic security,Economic security,"1,2,3",4,1,income_security_arrears
Q25,"Are you able to make an unexpected expense such as X for a
repair?",205,1,1,income_security,ordinal,,,,income_security,7,7,,social_outcomes,material_deprivation,Economic security,Economic security,"1,2,3,4","5,6,7",1,income_security_savings
Q110_First Click,Timing - First Click,206,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q110_Last Click,Timing - Last Click,207,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q110_Page Submit,Timing - Page Submit,208,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q110_Click Count,Timing - Click Count,209,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q26,"Would you
prefer to receive 100 â‚¬ today, or 300 â‚¬ in 1 month?",210,0,1,social_capital_time,ordinal,,,social_capital_time,social_capital,2,2,,social_capital,preferences_time,Preferences,Preferences: time,1,2,1,social_capital_time
Q28,"Would you
prefer to receive 100 â‚¬ today, or 300 â‚¬ in 12 months?",211,0,1,social_capital_time,ordinal,,,social_capital_time,social_capital,2,2,,social_capital,preferences_time,Preferences,Preferences: time,1,2,1,social_capital_time
Q27,"Would you
prefer to receive 100 â‚¬ today, or 300 â‚¬ in 6 months?",212,0,1,social_capital_time,ordinal,,,social_capital_time,social_capital,2,2,,social_capital,preferences_time,Preferences,Preferences: time,1,2,1,social_capital_time
Q29,"Suppose you
have some money to do business, and you have a choice between 2 options. Which
option would you choose?",213,0,-1,social_capital_risk2,ordinal,,,social_capital_risk_economical,social_capital,2,2,,social_capital,preferences_time,Preferences,Preferences: financial risk,1,2,1,social_capital_risk2
Q30,"Imagine you have saved 10'000 â‚¬ from working at a job. You receive
the following offer from a good bank: If you invest with them there is a chance
that you will double the money you invested immediately, or lose half of the
money you invested. How much do you want to invest? You only have 10'000 â‚¬.",214,0,1,social_capital_risk2,ordinal,,,social_capital_risk_economical,social_capital,5,5,,social_capital,preferences_time,Preferences,Preferences: financial risk,"1,2","3,4,5",1,social_capital_risk2
Q111_First Click,Timing - First Click,215,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q111_Last Click,Timing - Last Click,216,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q111_Page Submit,Timing - Page Submit,217,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q111_Click Count,Timing - Click Count,218,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q31_1,"We are
interested in your risk taking behavior. Please select how risky you find the
respective behavior.
Don't worry, your answers don't tell us anything about how you actually live your life. The questions are only about your theoretical, general willingness to take risks in life. - Admitting that your tastes are different from those of a friend.",219,1,-1,social_capital_risk1,ordinal,,,social_capital_risk_nonecon,social_capital,7,7,,social_capital,preferences_risk,Preferences,Preferences: risk,"1,2","3,4,5,6,7",1,social_capital_risk1
Q31_2,"We are
interested in your risk taking behavior. Please select how risky you find the
respective behavior.
Don't worry, your answers don't tell us anything about how you actually live your life. The questions are only about your theoretical, general willingness to take risks in life. - Drinking heavily at a social function.",220,1,-1,social_capital_risk1,ordinal,,,social_capital_risk_nonecon,social_capital,7,7,,social_capital,preferences_risk,Preferences,Preferences: risk,"1,2","3,4,5,6,7",1,social_capital_risk1
Q31_3,"We are
interested in your risk taking behavior. Please select how risky you find the
respective behavior.
Don't worry, your answers don't tell us anything about how you actually live your life. The questions are only about your theoretical, general willingness to take risks in life. - Disagreeing with an authority figure on a major issue.",221,1,-1,social_capital_risk1,ordinal,,,social_capital_risk_nonecon,social_capital,7,7,,social_capital,preferences_risk,Preferences,Preferences: risk,"1,2","3,4,5,6,7",1,social_capital_risk1
Q31_4,"We are
interested in your risk taking behavior. Please select how risky you find the
respective behavior.
Don't worry, your answers don't tell us anything about how you actually live your life. The questions are only about your theoretical, general willingness to take risks in life. - Having an affair with a married man/woman.",222,1,-1,social_capital_risk1,ordinal,,,social_capital_risk_nonecon,social_capital,7,7,,social_capital,preferences_risk,Preferences,Preferences: risk,"1,2","3,4,5,6,7",1,social_capital_risk1
Q31_5,"We are
interested in your risk taking behavior. Please select how risky you find the
respective behavior.
Don't worry, your answers don't tell us anything about how you actually live your life. The questions are only about your theoretical, general willingness to take risks in life. - Passing off somebody else's work as your own.",223,1,-1,social_capital_risk1,ordinal,,,social_capital_risk_nonecon,social_capital,7,7,,social_capital,preferences_risk,Preferences,Preferences: risk,"1,2","3,4,5,6,7",1,social_capital_risk1
Q31_6,"We are
interested in your risk taking behavior. Please select how risky you find the
respective behavior.
Don't worry, your answers don't tell us anything about how you actually live your life. The questions are only about your theoretical, general willingness to take risks in life. - Betting a day's income on the outcome of a sporting event.",224,1,-1,social_capital_risk1,ordinal,,,social_capital_risk_nonecon,social_capital,7,7,,social_capital,preferences_risk,Preferences,Preferences: risk,"1,2","3,4,5,6,7",1,social_capital_risk1
Q31_7,"We are
interested in your risk taking behavior. Please select how risky you find the
respective behavior.
Don't worry, your answers don't tell us anything about how you actually live your life. The questions are only about your theoretical, general willingness to take risks in life. - Engaging in unprotected sex.",225,1,-1,social_capital_risk1,ordinal,,,social_capital_risk_nonecon,social_capital,7,7,,social_capital,preferences_risk,Preferences,Preferences: risk,"1,2","3,4,5,6,7",1,social_capital_risk1
Q31_8,"We are
interested in your risk taking behavior. Please select how risky you find the
respective behavior.
Don't worry, your answers don't tell us anything about how you actually live your life. The questions are only about your theoretical, general willingness to take risks in life. - Revealing a friend's secret to someone else.",226,1,-1,social_capital_risk1,ordinal,,,social_capital_risk_nonecon,social_capital,7,7,,social_capital,preferences_risk,Preferences,Preferences: risk,"1,2","3,4,5,6,7",1,social_capital_risk1
Q31_9,"We are
interested in your risk taking behavior. Please select how risky you find the
respective behavior.
Don't worry, your answers don't tell us anything about how you actually live your life. The questions are only about your theoretical, general willingness to take risks in life. - Speaking your mind about an unpopular issue in a meeting at work.",227,1,-1,social_capital_risk1,ordinal,,,social_capital_risk_nonecon,social_capital,7,7,,social_capital,preferences_risk,Preferences,Preferences: risk,"1,2","3,4,5,6,7",1,social_capital_risk1
Q31_10,"We are
interested in your risk taking behavior. Please select how risky you find the
respective behavior.
Don't worry, your answers don't tell us anything about how you actually live your life. The questions are only about your theoretical, general willingness to take risks in life. - Not returning a wallet you found that contains â‚¬200.",228,1,-1,social_capital_risk1,ordinal,,,social_capital_risk_nonecon,social_capital,7,7,,social_capital,preferences_risk,Preferences,Preferences: risk,"1,2","3,4,5,6,7",1,social_capital_risk1
Q112_First Click,Timing - First Click,229,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q112_Last Click,Timing - Last Click,230,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q112_Page Submit,Timing - Page Submit,231,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q112_Click Count,Timing - Click Count,232,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q32,"In general terms, most people can be trusted.",233,1,-1,social_capital_traits,ordinal,,,social_capital_traits,social_capital,7,7,,social_capital,personality_traits,Preferences,Preferences: personality traits,"1,2,3","4,5,6,7",1,social_capital_traits_trust
Q34,You are willing to give up something that is beneficial for you today in order to benefit more from it in the future.,234,1,-1,social_capital_traits,ordinal,,,social_capital_traits,social_capital,7,7,,social_capital,personality_traits,Preferences,Preferences: personality traits,"1,2,3","4,5,6,7",1,social_capital_traits_patience
Q36,When someone does me a favor I am willing to return it.,235,1,-1,social_capital_traits,ordinal,,,social_capital_traits,social_capital,7,7,,social_capital,personality_traits,Preferences,Preferences: personality traits,"1,2,3","4,5,6,7",1,social_capital_traits_reciprocity_positive
Q37,"If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",236,1,1,social_capital_traits,ordinal,,,social_capital_traits,social_capital,7,7,,social_capital,personality_traits,Preferences,Preferences: personality traits,"1,2,3","4,5,6,7",1,social_capital_traits_reciprocity_negative
Q38,"I am willing to punish someone who treats me unfairly, even if there may be costs for me.",237,1,1,social_capital_traits,ordinal,,,social_capital_traits,social_capital,7,7,,social_capital,personality_traits,Preferences,Preferences: personality traits,"1,2,3","4,5,6,7",1,social_capital_traits_reciprocity_negative
Q39_1,"Imagine the following situation: Today you unexpectedly received 1,000 Euros. How much of this amount would you donate to a good cause?",238,0,1,social_capital_traits,continuous,,,social_capital_traits,social_capital,1000,1000,,social_capital,personality_traits,Preferences,Preferences: personality traits,0-10,>10,1,social_capital_traits_altruism
Q41,"Generally, I am willing to give to a good causes without expecting anything in return.",239,1,-1,social_capital_traits,ordinal,,,social_capital_traits,social_capital,7,7,,social_capital,personality_traits,Preferences,Preferences: personality traits,"1,2,3","4,5,6,7",1,social_capital_traits_altruism
Q113_First Click,Timing - First Click,240,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q113_Last Click,Timing - Last Click,241,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q113_Page Submit,Timing - Page Submit,242,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q113_Click Count,Timing - Click Count,243,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q89_1,"The following statements relate to your well-being in the
past two weeks. For each statement, please mark the number that you think best
describes how you have felt over the past two weeks.
In the last two weeks ... - â€¦ I was happy and in a good mood",244,1,-1,wellbeing,ordinal,"numbers are mixed up and not in oder. Currently: All the time (1)	Most of the time (4)	A little more than half the time (5)	About half the time (9)	A little less than half the time (6)	Now and then (7)	At no time (8)",,,wellbeing,7,7,,social_outcomes,wellbeing,Wellbeing scale,Wellbeing scale,"1,2,3","4,5,6,7",1,wellbeing
Q89_2,"The following statements relate to your well-being in the
past two weeks. For each statement, please mark the number that you think best
describes how you have felt over the past two weeks.
In the last two weeks ... - â€¦ I felt calm and relaxed",245,1,-1,wellbeing,ordinal,"numbers are mixed up and not in oder. Currently: All the time (1)	Most of the time (4)	A little more than half the time (5)	About half the time (9)	A little less than half the time (6)	Now and then (7)	At no time (8)",,,wellbeing,7,7,,social_outcomes,wellbeing,Wellbeing scale,Wellbeing scale,"1,2,3","4,5,6,7",1,wellbeing
Q89_3,"The following statements relate to your well-being in the
past two weeks. For each statement, please mark the number that you think best
describes how you have felt over the past two weeks.
In the last two weeks ... - ... I felt energetic and active",246,1,-1,wellbeing,ordinal,"numbers are mixed up and not in oder. Currently: All the time (1)	Most of the time (4)	A little more than half the time (5)	About half the time (9)	A little less than half the time (6)	Now and then (7)	At no time (8)",,,wellbeing,7,7,,social_outcomes,wellbeing,Wellbeing scale,Wellbeing scale,"1,2,3","4,5,6,7",1,wellbeing
Q89_4,"The following statements relate to your well-being in the
past two weeks. For each statement, please mark the number that you think best
describes how you have felt over the past two weeks.
In the last two weeks ... - â€¦ I felt fresh and rested when I woke up",247,1,-1,wellbeing,ordinal,"numbers are mixed up and not in oder. Currently: All the time (1)	Most of the time (4)	A little more than half the time (5)	About half the time (9)	A little less than half the time (6)	Now and then (7)	At no time (8)",,,wellbeing,7,7,,social_outcomes,wellbeing,Wellbeing scale,Wellbeing scale,"1,2,3","4,5,6,7",1,wellbeing
Q89_5,"The following statements relate to your well-being in the
past two weeks. For each statement, please mark the number that you think best
describes how you have felt over the past two weeks.
In the last two weeks ... - â€¦ my everyday life was full of things that interest me",248,1,-1,wellbeing,ordinal,"numbers are mixed up and not in oder. Currently: All the time (1)	Most of the time (4)	A little more than half the time (5)	About half the time (9)	A little less than half the time (6)	Now and then (7)	At no time (8)",,,wellbeing,7,7,,social_outcomes,wellbeing,Wellbeing scale,Wellbeing scale,"1,2,3","4,5,6,7",1,wellbeing
Q114_First Click,Timing - First Click,249,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q114_Last Click,Timing - Last Click,250,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q114_Page Submit,Timing - Page Submit,251,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q114_Click Count,Timing - Click Count,252,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q45,Would you say your health generally is...,253,1,-1,health_subjective,ordinal,,,,health_subjective,5,5,,health,health_subjective,Subjective health,Subjective health,"1,2,3","4,5",1,health_subjective_present
Q46,"Over the past 6 months, would you say your health generally has...",254,1,-1,health_subjective,ordinal,,,,health_subjective,7,7,,health,health_subjective,Subjective health,Subjective health,"1,2,3","4,5,6,7",1,health_subjective_past
Q115_First Click,Timing - First Click,255,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q115_Last Click,Timing - Last Click,256,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q115_Page Submit,Timing - Page Submit,257,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q115_Click Count,Timing - Click Count,258,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q48_1,"During the past month, how
much have you been bothered by any of the following problems? - belly",259,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_2,"During the past month, how
much have you been bothered by any of the following problems? - back",260,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_3,"During the past month, how
much have you been bothered by any of the following problems? - limbs",261,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_4,"During the past month, how
much have you been bothered by any of the following problems? - menstruation",262,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_5,"During the past month, how
much have you been bothered by any of the following problems? - sexual intercourse",263,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_6,"During the past month, how
much have you been bothered by any of the following problems? - head",264,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_7,"During the past month, how
much have you been bothered by any of the following problems? - chest",265,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_8,"During the past month, how
much have you been bothered by any of the following problems? - dizziness",266,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_9,"During the past month, how
much have you been bothered by any of the following problems? - passed out",267,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_10,"During the past month, how
much have you been bothered by any of the following problems? - heart",268,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_11,"During the past month, how
much have you been bothered by any of the following problems? - breath",269,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_12,"During the past month, how
much have you been bothered by any of the following problems? - intestine",270,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_13,"During the past month, how
much have you been bothered by any of the following problems? - digestion",271,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_14,"During the past month, how
much have you been bothered by any of the following problems? - sleep",272,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q48_15,"During the past month, how
much have you been bothered by any of the following problems? - energy",273,1,-1,health_physical_women,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_women
Q92_1,"During the past month, how
much have you been bothered by any of the following problems? - belly",274,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_2,"During the past month, how
much have you been bothered by any of the following problems? - back",275,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_3,"During the past month, how
much have you been bothered by any of the following problems? - limbs",276,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_4,"During the past month, how
much have you been bothered by any of the following problems? - sexual intercourse",277,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_5,"During the past month, how
much have you been bothered by any of the following problems? - head",278,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_6,"During the past month, how
much have you been bothered by any of the following problems? - chest",279,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_7,"During the past month, how
much have you been bothered by any of the following problems? - dizziness",280,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_8,"During the past month, how
much have you been bothered by any of the following problems? - passed out",281,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_9,"During the past month, how
much have you been bothered by any of the following problems? - heart",282,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_10,"During the past month, how
much have you been bothered by any of the following problems? - breath",283,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_11,"During the past month, how
much have you been bothered by any of the following problems? - intestine",284,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_12,"During the past month, how
much have you been bothered by any of the following problems? - digestion",285,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_13,"During the past month, how
much have you been bothered by any of the following problems? - sleep",286,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q92_14,"During the past month, how
much have you been bothered by any of the following problems? - energy",287,1,-1,health_physical_men,ordinal,,,,health_physical,3,3,,health,health_physical,Physical health,Physical health,1,"2,3",1,health_physical_men
Q49_1,"Over the last 2 weeks, how
much does the statement describe your feelings? - I feel I cannot shake off the blues, even with help from my family and my friends.",288,1,1,health_depression,ordinal,"numbers 2-10, are missing. scale consists of 1,11,12,13,14,15,16.",,,health_depression,7,7,,health,health_psychological,Depression symptoms (-),Depression symptoms (-),"1,2,3","4,5,6,7",1,health_depression
Q49_2,"Over the last 2 weeks, how
much does the statement describe your feelings? - I feel sad.",289,1,1,health_depression,ordinal,"numbers 2-10, are missing. scale consists of 1,11,12,13,14,15,16.",,,health_depression,7,7,,health,health_psychological,Depression symptoms (-),Depression symptoms (-),"1,2,3","4,5,6,7",1,health_depression
Q49_3,"Over the last 2 weeks, how
much does the statement describe your feelings? - I feel happy.",290,1,-1,health_depression,ordinal,"numbers 2-10, are missing. scale consists of 1,11,12,13,14,15,16.",,,health_depression,7,7,,health,health_psychological,Depression symptoms (-),Depression symptoms (-),"1,2,3","4,5,6,7",1,health_depression
Q49_4,"Over the last 2 weeks, how
much does the statement describe your feelings? - I feel life is not worth living.",291,1,1,health_depression,ordinal,"numbers 2-10, are missing. scale consists of 1,11,12,13,14,15,16.",,,health_depression,7,7,,health,health_psychological,Depression symptoms (-),Depression symptoms (-),"1,2,3","4,5,6,7",1,health_depression
Q49_5,"Over the last 2 weeks, how
much does the statement describe your feelings? - I feel depressed.",292,1,1,health_depression,ordinal,"numbers 2-10, are missing. scale consists of 1,11,12,13,14,15,16.",,,health_depression,7,7,,health,health_psychological,Depression symptoms (-),Depression symptoms (-),"1,2,3","4,5,6,7",1,health_depression
Q50_1,"Over the last 2 weeks, how often have you been bothered by the following problems? - Feeling nervous, anxious or on edge",293,1,-1,health_anxiety,ordinal,,,,health_anxiety,4,4,,health,health_psychological,Anxiety symptoms (-),Anxiety symptoms (-),1,"2,3,4",1,health_anxiety
Q50_2,"Over the last 2 weeks, how often have you been bothered by the following problems? - Not being able to stop or control worrying",294,2,-1,health_anxiety,ordinal,,,,health_anxiety,4,4,,health,health_psychological,Anxiety symptoms (-),Anxiety symptoms (-),1,"2,3,4",1,health_anxiety
Q50_3,"Over the last 2 weeks, how often have you been bothered by the following problems? - Worrying too much about different things",295,3,-1,health_anxiety,ordinal,,,,health_anxiety,4,4,,health,health_psychological,Anxiety symptoms (-),Anxiety symptoms (-),1,"2,3,4",1,health_anxiety
Q50_4,"Over the last 2 weeks, how often have you been bothered by the following problems? - Trouble relaxing",296,4,-1,health_anxiety,ordinal,,,,health_anxiety,4,4,,health,health_psychological,Anxiety symptoms (-),Anxiety symptoms (-),1,"2,3,4",1,health_anxiety
Q50_5,"Over the last 2 weeks, how often have you been bothered by the following problems? - Being so restless that it is hard to sit still",297,5,-1,health_anxiety,ordinal,,,,health_anxiety,4,4,,health,health_psychological,Anxiety symptoms (-),Anxiety symptoms (-),1,"2,3,4",1,health_anxiety
Q50_6,"Over the last 2 weeks, how often have you been bothered by the following problems? - Becoming easily annoyed or irritable",298,6,-1,health_anxiety,ordinal,,,,health_anxiety,4,4,,health,health_psychological,Anxiety symptoms (-),Anxiety symptoms (-),1,"2,3,4",1,health_anxiety
Q50_7,"Over the last 2 weeks, how often have you been bothered by the following problems? - Feeling afraid as if something awful might happen",299,7,-1,health_anxiety,ordinal,,,,health_anxiety,4,4,,health,health_psychological,Anxiety symptoms (-),Anxiety symptoms (-),1,"2,3,4",1,health_anxiety
Q116_First Click,Timing - First Click,300,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q116_Last Click,Timing - Last Click,301,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q116_Page Submit,Timing - Page Submit,302,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q116_Click Count,Timing - Click Count,303,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q52_1,"Please tell us whether the following statements apply to
you. - Thinking about the coronavirus (COVID-19) makes me feel threatened.",304,0,-1,covid,continuous,,,,covid,100,100,,covid,covid,Covid stress (-),Covid stress (-),0-20,20-100,1,covid
Q52_2,"Please tell us whether the following statements apply to
you. - I am afraid of the coronavirus (COVID-19).",305,0,-1,covid,continuous,,,,covid,100,100,,covid,covid,Covid stress (-),Covid stress (-),0-20,20-100,1,covid
Q52_3,"Please tell us whether the following statements apply to
you. - I am stressed around other people because I worry Iâ€™ll catch the coronavirus (COVID-19).",306,0,-1,covid,continuous,,,,covid,100,100,,covid,covid,Covid stress (-),Covid stress (-),0-20,20-100,1,covid
